geneproductid,molecularfunctionid
GP00019158,MF00007362
GP00023894,MF00000446
GP00030712,MF00002086
GP00023607,MF00007160
GP00022117,MF00001891
GP00034179,MF00000451
GP00023176,MF00004637
GP00019003,MF00000248
GP00023687,MF00001891
GP00025190,MF00001900
GP00032412,MF00000130
GP00017386,MF00003982
GP00026087,MF00007221
GP00032639,MF00000130
GP00029003,MF00001891
GP00020769,MF00006782
GP00018860,MF00000428
GP00033831,MF00001528
GP00022022,MF00010450
GP00025235,MF00001637
GP00025046,MF00000408
GP00025521,MF00001689
GP00033057,MF00000457
GP00023352,MF00000407
GP00032886,MF00000962
GP00018016,MF00009681
GP00032818,MF00000132
GP00031251,MF00004794
GP00026296,MF00000408
GP00023842,MF00001891
GP00017556,MF00006718
GP00021882,MF00002951
GP00026766,MF00006717
GP00032813,MF00004640
GP00019952,MF00001305
GP00033664,MF00000905
GP00032781,MF00000132
GP00032989,MF00004954
GP00034547,MF00000408
GP00027395,MF00001891
GP00034086,MF00005119
GP00029800,MF00006455
GP00017960,MF00005448
GP00023457,MF00007195
GP00029384,MF00002280
GP00022352,MF00001900
GP00016970,MF00007803
GP00020905,MF00011688
GP00021701,MF00001452
GP00019045,MF00000129
GP00034050,MF00001891
GP00027147,MF00003010
GP00027712,MF00001886
GP00017075,MF00001264
GP00025107,MF00000130
GP00023423,MF00005286
GP00020058,MF00000132
GP00016923,MF00007215
GP00022498,MF00001891
GP00022908,MF00007441
GP00027083,MF00006822
GP00019568,MF00010340
GP00019377,MF00007362
GP00033326,MF00003553
GP00034734,MF00000437
GP00028064,MF00000274
GP00022542,MF00010377
GP00023247,MF00001956
GP00018180,MF00000249
GP00017506,MF00007384
GP00019336,MF00001891
GP00030513,MF00001891
GP00017399,MF00010141
GP00032340,MF00001709
GP00032691,MF00003063
GP00028017,MF00003014
GP00030333,MF00006284
GP00032478,MF00006717
GP00018276,MF00009869
GP00022853,MF00001756
GP00027522,MF00003871
GP00033266,MF00007362
GP00023230,MF00001274
GP00024449,MF00005995
GP00033904,MF00001901
GP00021623,MF00006531
GP00023855,MF00001891
GP00022666,MF00003155
GP00033132,MF00012209
GP00027447,MF00000428
GP00020596,MF00000412
GP00020617,MF00007205
GP00017663,MF00009116
GP00029493,MF00001900
GP00020584,MF00006871
GP00022438,MF00006717
GP00025586,MF00001294
GP00017292,MF00007405
GP00023259,MF00001611
GP00022136,MF00000426
GP00032047,MF00007362
GP00030079,MF00000451
GP00023918,MF00007362
GP00016870,MF00011689
GP00031083,MF00001892
GP00027531,MF00000132
GP00017670,MF00001891
GP00027531,MF00007280
GP00018684,MF00001618
GP00023582,MF00001891
GP00018290,MF00007096
GP00027442,MF00001891
GP00020320,MF00007362
GP00032830,MF00001891
GP00026831,MF00000408
GP00025083,MF00000728
GP00032280,MF00002305
GP00024170,MF00005078
GP00031393,MF00001481
GP00027247,MF00004794
GP00031114,MF00001891
GP00020931,MF00007895
GP00027701,MF00005388
GP00023139,MF00001670
GP00025580,MF00001215
GP00021465,MF00000129
GP00017505,MF00006644
GP00033454,MF00001891
GP00022806,MF00007362
GP00029439,MF00003487
GP00019975,MF00006677
